iter	Passed	Remaining
455	929	1109
456	930	1105
457	930	1101
458	933	1099
459	935	1098
460	937	1096
461	940	1094
462	942	1093
463	945	1091
464	947	1090
465	949	1088
466	950	1084
467	950	1080
468	952	1078
469	955	1077
470	957	1075
471	960	1074
472	962	1072
473	964	1070
474	967	1068
475	969	1066
476	969	1062
477	969	1059
478	972	1057
479	974	1055
480	976	1054
481	979	1052
482	982	1051
483	984	1049
484	987	1048
485	989	1046
486	989	1042
487	990	1039
488	992	1037
489	994	1035
490	997	1034
491	1000	1032
492	1002	1030
493	1004	1029
494	1007	1027
495	1008	1025
496	1008	1021
497	1010	1018
498	1012	1016
499	1014	1014
500	1017	1013
501	1019	1011
502	1021	1009
503	1024	1008
504	1026	1006
505	1028	1004
506	1029	1000
507	1029	997
508	1032	996
509	1035	994
510	1037	992
511	1040	991
512	1043	990
513	1045	988
514	1047	986
515	1049	984
516	1049	980
517	1050	977
518	1053	976
519	1056	975
520	1059	973
521	1062	972
522	1064	970
523	1066	969
524	1068	966
525	1068	963
526	1069	959
527	1071	958
528	1074	956
529	1076	954
530	1079	953
531	1081	951
532	1083	949
533	1086	947
534	1088	946
535	1088	942
536	1089	939
537	1091	937
538	1094	935
539	1096	934
540	1098	932
541	1101	930
542	1104	929
543	1106	927
544	1107	924
545	1107	921
546	1109	918
547	1111	916
548	1114	915
549	1116	913
550	1118	911
551	1121	910
552	1123	908
553	1126	906
554	1127	904
555	1128	900
556	1130	899
557	1132	897
558	1135	895
559	1137	893
560	1139	891
561	1142	890
562	1144	888
563	1147	886
564	1147	883
565	1147	880
566	1148	876
567	1150	875
568	1153	873
569	1155	872
570	1158	870
571	1160	868
572	1163	866
573	1165	865
574	1167	863
575	1167	859
576	1168	856
577	1171	855
578	1173	853
579	1177	853
580	1180	851
581	1182	849
582	1185	847
583	1187	845
584	1187	842
585	1188	839
586	1191	838
587	1194	836
588	1196	834
589	1198	833
590	1201	831
591	1203	829
592	1205	827
593	1207	825
594	1207	821
595	1209	819
596	1212	818
597	1214	816
598	1216	814
599	1221	814
600	1223	812
601	1226	810
602	1227	808
603	1227	804
604	1228	802
605	1230	800
606	1232	798
607	1235	796
608	1237	794
609	1239	792
610	1241	790
611	1243	788
612	1246	786
613	1246	783
614	1246	780
615	1248	778
616	1250	776
617	1252	774
618	1254	772
619	1257	770
620	1259	768
621	1261	766
622	1263	764
623	1265	762
624	1266	760
625	1267	756
626	1267	754
627	1270	752
628	1272	750
629	1274	748
630	1276	746
631	1278	744
632	1281	742
633	1283	740
634	1285	738
635	1285	735
636	1286	732
637	1287	730
638	1289	728
639	1291	726
640	1294	724
641	1296	722
642	1298	721
643	1300	719
644	1303	717
645	1305	715
646	1305	712
647	1306	709
648	1308	707
649	1310	705
650	1312	703
651	1314	701
652	1317	699
653	1319	698
654	1321	696
655	1323	694
656	1325	691
657	1325	688
658	1326	686
659	1328	684
660	1330	682
661	1332	680
662	1335	678
663	1337	676
664	1340	675
665	1342	673
666	1344	671
667	1345	668
668	1345	665
669	1347	663
670	1349	661
671	1351	659
672	1354	657
673	1356	656
674	1358	654
675	1361	652
676	1363	650
677	1365	648
678	1365	645
679	1366	642
680	1368	640
681	1370	638
682	1372	637
683	1374	635
684	1377	633
685	1380	631
686	1382	629
687	1384	627
688	1385	625
689	1385	622
690	1387	620
691	1389	618
692	1391	616
693	1395	615
694	1397	613
695	1400	611
696	1402	609
697	1404	607
698	1405	605
699	1405	602
700	1405	599
701	1407	597
702	1409	595
703	1411	593
704	1413	591
705	1416	589
706	1419	588
707	1421	586
708	1424	584
709	1424	582
710	1425	579
711	1427	577
712	1429	575
713	1432	573
714	1434	571
715	1437	570
716	1440	568
717	1442	566
718	1445	564
719	1445	562
720	1446	559
721	1448	557
722	1451	555
723	1454	554
724	1456	552
725	1459	550
726	1461	548
727	1464	547
728	1464	544
729	1464	541
730	1468	540
731	1470	538
732	1472	536
733	1475	534
734	1478	533
